BSSID,Network Name,Vendor,Annotations,Signal (%),Channel,Channel Width,Band,Mode,Generation,Security,Max Rate (Mbps),Seen
E4:C0:E2:94:39:08,Fibertel WiFi964 5.8GHz,Sagemcom Broadband,,15,157,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1733.3,2025/11/16 09:52:56 AM
86:2A:A8:82:E5:C2,oficina,Ubiquiti Networks,,87,140,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1300,2025/11/16 09:52:56 AM
C8:33:E5:D6:0C:3C,Personal-134,Huawei,,20,52,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1733.3,2025/11/16 09:52:10 AM
12:EF:15:E1:99:2E,⁣⁣Hidden Network⁣⁣,TP-Link,,36,7,40 MHz,2.4 GHz,b/g/n/ax,6,WPA2 (PSK),573.5,2025/11/16 09:48:38 AM
C6:C9:E3:A1:F7:1F,⁣⁣Hidden Network⁣⁣,TP-Link,,50,36,80 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),1201,2025/11/16 09:52:40 AM
0C:EF:15:E1:99:2E,Daniela,TP-Link,,38,7,40 MHz,2.4 GHz,b/g/n/ax,6,WPA2 (PSK),573.5,2025/11/16 09:52:56 AM
9C:A5:70:23:27:E6,Cerundolo,eero,,17,48,160 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),2402,2025/11/16 09:49:08 AM
AA:50:81:F3:91:30,Personal-987,Huawei,,1,56,80 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),1201,2025/11/16 09:52:40 AM
8C:FD:DE:53:72:F1,Personal-D62-2.4GHz-5GHz,Sagemcom Broadband,,10,153,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1733.3,2025/11/16 09:50:38 AM
8E:2A:A8:82:E5:C2,⁣⁣Hidden Network⁣⁣,Ubiquiti Networks,,87,140,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1300,2025/11/16 09:52:56 AM
8A:2A:A8:82:E5:C2,admin,Ubiquiti Networks,,87,140,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1300,2025/11/16 09:52:56 AM
