,AP,Wifi Name,Signal,Channel,Ch. Width,Standard,MAC Address,Security,Vendor
,,Fibertel WiFi595 5.8GHz,-85 dBm,60,80 MHz,802.11n/a/be,5c:76:95:4e:b7:50,WPA2-Personal (AES/CCMP),Vantiva USA LLC
,,Personal-483,-86 dBm,52,80 MHz,802.11n/a/be,a8:ff:ba:70:b8:50,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,Fibertel WiFi995 2.4GHz,-86 dBm,64,80 MHz,802.11n/a/be,f2:c4:78:b9:0c:c4,WPA1-Personal (TKIP/AES/CCMP),
,,Personal-305,-86 dBm,149,80 MHz,802.11n/a/be,58:56:c2:0c:1e:7c,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,Vero,-86 dBm,157,80 MHz,802.11n/a/be,f2:c4:78:73:c3:64,WPA2-Personal (AES/CCMP),
,,Marcela,-86 dBm,157,80 MHz,802.11n/a/be,62:3d:29:87:7a:1c,WPA2-Personal (AES/CCMP),
,,Personal-123,-86 dBm,153,80 MHz,802.11n/a/be,62:3d:29:f2:0b:c4,WPA2-Personal (AES/CCMP),
,,SurAzul 5.8,-86 dBm,52,80 MHz,802.11n/a/be,6c:34:91:18:86:48,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,IPLANLiv-Renzo-5Ghz,-86 dBm,108,80 MHz,802.11n/a/be,c8:5a:9f:c3:2e:a2,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,lamata,-86 dBm,149,80 MHz,802.11n/a/be,b0:2a:43:d1:ed:c3,WPA2-Personal (AES/CCMP),"Google, Inc."
,,405-5G,-86 dBm,40,80 MHz,802.11n/a/be,c0:25:67:e1:68:44,WPA2-Personal (TKIP/AES/CCMP),Nexxt Solutions
,,Arboleda 5.8ghz,-87 dBm,60,80 MHz,802.11n/a/be,08:7e:64:95:24:70,WPA2-Personal (AES/CCMP),Vantiva USA LLC
,,Personal-819,-87 dBm,56,80 MHz,802.11n/a/be,66:bf:6b:2d:07:08,WPA2-Personal (AES/CCMP),
,,Fibertel WiFi345 5.8GHz,-87 dBm,60,80 MHz,802.11n/a/be,26:97:45:86:da:68,WPA2-Personal (AES/CCMP),
,,Personal-7AE,-87 dBm,157,80 MHz,802.11n/a/be,56:f6:e2:65:17:80,WPA2+WPA3-Personal (AES/CCMP),
,,Cerundolo,-87 dBm,48,80 MHz,802.11n/a/be,9c:a5:70:22:4a:c6,WPA2-Personal (AES/CCMP),eero inc.
,,IPLAN-852452-5G,-87 dBm,108,80 MHz,802.11n/a/be,f8:79:28:5a:23:c5,WPA2-Personal (AES/CCMP),zte corporation
,,IPLAN-921486-5G,-87 dBm,108,80 MHz,802.11n/a/be,5c:3a:3d:a5:84:7d,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,Fibertel WiFi964 5.8GHz,-87 dBm,157,80 MHz,802.11n/a/be,e4:c0:e2:94:39:08,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,Soldado 5.8Gz,-87 dBm,60,80 MHz,802.11n/a/be,3c:b7:4b:5b:fb:e8,WPA2-Personal (AES/CCMP),Vantiva USA LLC
