,AP,Wifi Name,Signal,Channel,Ch. Width,Standard,MAC Address,Security,Vendor
,,smartBox-7880,-88 dBm,40,40 MHz,802.11n/a/be,f0:a8:82:ad:76:cc,WPA2-Personal (AES/CCMP),"shenzhen trolink Technology Co.,Ltd"
,,MBUX 35194,-88 dBm,40,80 MHz,802.11n/a/be,c2:c4:f9:88:34:84,WPA2+WPA3-Personal (AES/CCMP),
,,MBUX 66174,-88 dBm,40,80 MHz,802.11n/a/be,66:e2:20:e0:b6:fe,WPA2+WPA3-Personal (AES/CCMP),
,,CAR2-AD24,-88 dBm,40,40 MHz,802.11n/a/be,a8:b5:8e:61:d6:f4,WPA2-Personal (AES/CCMP),
,,MBUX 62827,-88 dBm,40,80 MHz,802.11n/a/be,66:e2:20:db:b6:2f,WPA2+WPA3-Personal (AES/CCMP),
,,smartBox-B382,-88 dBm,40,40 MHz,802.11n/a/be,f0:a8:82:d1:08:62,WPA2-Personal (AES/CCMP),"shenzhen trolink Technology Co.,Ltd"
,,smartBox-A170,-88 dBm,40,40 MHz,802.11n/a/be,4c:a3:8f:c1:7b:0c,WPA2-Personal (AES/CCMP),
,,smartBox-C93D,-88 dBm,40,40 MHz,802.11n/a/be,68:8f:c9:65:e3:a0,WPA2-Personal (AES/CCMP),"Zhuolian (Shenzhen) Communication Co., Ltd"
,,MBUX 32425,-88 dBm,40,80 MHz,802.11n/a/be,c2:c4:f9:89:79:a7,WPA2+WPA3-Personal (AES/CCMP),
,,Personal-E8F,-88 dBm,157,80 MHz,802.11n/a/be,44:d4:54:b7:7e:95,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,Personal-51C-2.4GHz,-88 dBm,60,80 MHz,802.11n/a/be,3c:b7:4b:52:35:28,WPA2-Personal (AES/CCMP),Vantiva USA LLC
,,POCO X5 Pro 5G,-88 dBm,40,80 MHz,802.11n/a/be,5a:c5:c0:c7:94:c1,WPA2-Personal (AES/CCMP),
,,smartBox-DD6D,-88 dBm,40,40 MHz,802.11n/a/be,4c:a3:8f:3f:5c:29,WPA2-Personal (AES/CCMP),
,,CAR2-D07D,-88 dBm,40,40 MHz,802.11n/a/be,68:8f:c9:44:0b:e8,WPA2-Personal (AES/CCMP),"Zhuolian (Shenzhen) Communication Co., Ltd"
,,CarLinkAP424,-88 dBm,40,80 MHz,802.11n/a/be,52:55:06:0a:f1:a1,WPA2-Personal (AES/CCMP),
,,CFMOTO-f442e7,-88 dBm,40,40 MHz,802.11n/a/be,50:7c:4a:06:fd:57,WPA2-Personal (AES/CCMP),
,,IPLAN-747590-5G,-88 dBm,104,80 MHz,802.11n/a/be,64:6e:60:5e:2c:75,WPA2-Personal (AES/CCMP),zte corporation
,,moto g24 power_9277,-88 dBm,40,80 MHz,802.11n/a/be,46:eb:fa:49:26:cf,WPA2+WPA3-Personal (AES/CCMP),
,,CarAP_GVKMR,-88 dBm,40,80 MHz,802.11n/a/be,02:08:22:94:f4:fb,WPA2-Personal (AES/CCMP),
,,Maly,-88 dBm,40,80 MHz,802.11n/a/be,c0:25:67:e1:16:f4,WPA2-Personal (TKIP/AES/CCMP),Nexxt Solutions
,,Fibertel WiFi351 5.8GHz,-88 dBm,56,80 MHz,802.11n/a/be,b0:fc:36:01:69:78,WPA2-Personal (TKIP/AES/CCMP),CyberTAN Technology Inc.
,2,AndroidAP_5818,-88 dBm,40,80 MHz,802.11n/a/be,2e:a4:b7:0d:d2:19,WPA2-Personal (AES/CCMP),
,,CX_WIFI1C501EA79675,-88 dBm,40,40 MHz,802.11n/a/be,48:8f:4c:5c:c6:d8,WPA2-Personal (AES/CCMP),"shenzhen trolink Technology Co.,Ltd"
,,AndroidAP_7828,-88 dBm,40,80 MHz,802.11n/a/be,3a:ed:91:21:f3:76,WPA2+WPA3-Personal (AES/CCMP),
,,Wireless-Adapter-0315,-88 dBm,40,40 MHz,802.11n/a/be,4c:a3:8f:a7:06:19,WPA2-Personal (AES/CCMP),
,,MBUX 79530,-88 dBm,40,80 MHz,802.11n/a/be,f8:96:fe:62:20:b2,WPA2+WPA3-Personal (AES/CCMP),
,,sam,-88 dBm,40,80 MHz,802.11n/a/be,e2:68:6a:35:79:2e,WPA3-Personal (AES/CCMP),
,,JAZMIN 5.8GHz*,-88 dBm,153,80 MHz,802.11n/a/be,a0:39:ee:ad:6b:e7,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,sc-0d43,-88 dBm,60,80 MHz,802.11n/a/be,48:29:52:40:0d:49,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,smartDongle-D16D,-88 dBm,40,40 MHz,802.11n/a/be,48:8f:4c:d4:6b:4e,WPA2-Personal (AES/CCMP),"shenzhen trolink Technology Co.,Ltd"
,,Fibertel WiFi885 5.8GHz,-88 dBm,52,80 MHz,802.11n/a/be,08:7e:64:8f:c5:38,WPA2-Personal (AES/CCMP),Vantiva USA LLC
,,AUTO-DEBE,-88 dBm,40,80 MHz,802.11n/a/be,34:5f:4a:0d:9b:da,WPA2-Personal (AES/CCMP),
,,CarAP_KNB8L,-88 dBm,40,80 MHz,802.11n/a/be,02:08:22:30:ef:fb,WPA2-Personal (AES/CCMP),
,,ValenchuMesh,-88 dBm,40,80 MHz,802.11n/a/be,aa:6e:84:81:3d:33,WPA2-Personal (AES/CCMP),
,,Galaxy A21s97CC,-88 dBm,40,80 MHz,802.11n/a/be,f2:ee:4e:b9:3a:78,WPA2-Personal (AES/CCMP),
,,AndroidAP_9190,-88 dBm,40,80 MHz,802.11n/a/be,42:45:51:71:23:9f,WPA2-Personal (AES/CCMP),
,,TCH-3175832,-88 dBm,52,80 MHz,802.11n/a/be,08:7e:64:a6:99:c8,WPA2-Personal (AES/CCMP),Vantiva USA LLC
,,MBUX 21619,-88 dBm,40,80 MHz,802.11n/a/be,c2:c4:f9:8e:fa:99,WPA2+WPA3-Personal (AES/CCMP),
,,FamiliaSimon,-88 dBm,40,80 MHz,802.11n/a/be,1a:3f:c3:ba:0f:da,WPA2-Personal (AES/CCMP),
,,MORENO,-88 dBm,64,80 MHz,802.11n/a/be,c6:34:5b:16:7f:f8,WPA2-Personal (AES/CCMP),
,,smartBox-121E,-88 dBm,40,40 MHz,802.11n/a/be,f0:a8:82:0b:72:88,WPA2-Personal (AES/CCMP),"shenzhen trolink Technology Co.,Ltd"
,,Car-Play-74C0,-88 dBm,40,40 MHz,802.11n/a/be,00:e0:4c:35:69:27,WPA2-Personal (AES/CCMP),Realtek Semiconductor Corp.
,,CarLinkAP795,-88 dBm,40,20 MHz,802.11n/a/be,06:0a:8f:c6:18:03,WPA2-Personal (AES/CCMP),
,,MBUX 26323,-88 dBm,40,80 MHz,802.11n/a/be,c2:c4:f9:5c:75:78,WPA2+WPA3-Personal (AES/CCMP),
,,Fibertel WiFi404 5.8GHz,-88 dBm,64,80 MHz,802.11n/a/be,c8:3d:d4:fd:1a:08,WPA2-Personal (TKIP/AES/CCMP),CyberTAN Technology Inc.
,,OTTO-F179,-88 dBm,40,40 MHz,802.11n/a/be,e0:59:b3:0a:ca:8b,WPA2-Personal (AES/CCMP),
,,IPLAN-BOURDIEU,-88 dBm,40,80 MHz,802.11n/a/be,c8:5a:9f:c3:3d:b4,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,CAR2-62D4,-88 dBm,40,40 MHz,802.11n/a/be,68:8f:c9:af:60:c1,WPA2-Personal (AES/CCMP),"Zhuolian (Shenzhen) Communication Co., Ltd"
,,3-B-5Ghz,-88 dBm,108,80 MHz,802.11n/a/be,28:77:77:6e:0a:da,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,MBUX 19985,-88 dBm,40,80 MHz,802.11n/a/be,66:e2:20:b3:0e:ff,WPA2+WPA3-Personal (AES/CCMP),
,,MBUX 82752,-88 dBm,40,80 MHz,802.11n/a/be,f8:96:fe:f3:27:a1,WPA2+WPA3-Personal (AES/CCMP),
,,Lospinos2013,-88 dBm,157,80 MHz,802.11n/a/be,4e:d6:29:c0:62:54,WPA2-Personal (AES/CCMP),
,,Fibertel WiFi979 5.8GHz,-88 dBm,52,80 MHz,802.11n/a/be,f8:08:4f:80:d5:60,WPA2-Personal (TKIP/AES/CCMP),Sagemcom Broadband SAS
,,AndroidAP_5703,-88 dBm,40,80 MHz,802.11n/a/be,22:cf:8d:fd:45:d4,WPA2-Personal (AES/CCMP),
,,My VW 7914,-88 dBm,40,40 MHz,802.11n/a/be,2e:d1:c6:4d:ed:7d,WPA2-Personal (AES/CCMP),
,,CarAP_8PF7H,-88 dBm,40,80 MHz,802.11n/a/be,02:08:22:a4:20:fc,WPA2-Personal (AES/CCMP),
,,Iplan Maxi-5.8GHz,-88 dBm,104,80 MHz,802.11n/a/be,64:85:05:5e:6c:cb,WPA2-Personal (AES/CCMP),zte corporation
,,Kia_1046234751,-88 dBm,40,80 MHz,802.11n/a/be,ee:ab:3e:5c:c6:7e,WPA2+WPA3-Personal (AES/CCMP),
,,AIBox-BT-8EBC,-88 dBm,40,40 MHz,802.11n/a/be,4c:a3:8f:4f:48:b7,WPA2-Personal (AES/CCMP),
,,Kia_1046507197,-88 dBm,40,80 MHz,802.11n/a/be,ee:ab:3e:60:ee:bc,WPA2+WPA3-Personal (AES/CCMP),
,,AUTO-732E,-88 dBm,40,40 MHz,802.11n/a/be,f0:a8:82:3d:cd:06,WPA2-Personal (AES/CCMP),"shenzhen trolink Technology Co.,Ltd"
,,FiberCorp WiFi339,-88 dBm,52,80 MHz,802.11n/a/be,44:05:3f:63:d9:26,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,DIRECT-C172F4CA1,-88 dBm,40,80 MHz,802.11n/a/be,06:4a:37:ed:86:e2,WPA2-Personal (AES/CCMP),
,,smartBox-4EAA,-88 dBm,40,40 MHz,802.11n/a/be,fc:23:cd:74:10:09,WPA2-Personal (AES/CCMP),
,,Hyundai_1046593031,-88 dBm,40,80 MHz,802.11n/a/be,ee:ab:3e:61:3e:06,WPA2+WPA3-Personal (AES/CCMP),
,,My VW 5799,-88 dBm,40,80 MHz,802.11n/a/be,a6:04:50:ec:ba:07,WPA2+WPA3-Personal (AES/CCMP),
,,AndroidAP_4222,-88 dBm,40,40 MHz,802.11n/a/be,ce:1e:f6:c1:04:19,WPA2-Personal (AES/CCMP),
,,Kia_1046446793,-88 dBm,40,80 MHz,802.11n/a/be,ee:ab:3e:5f:02:c8,WPA2+WPA3-Personal (AES/CCMP),
,,MBUX 47925,-88 dBm,40,80 MHz,802.11n/a/be,c2:c4:f9:75:58:73,WPA2+WPA3-Personal (AES/CCMP),
,,Kia_1046456641,-88 dBm,40,80 MHz,802.11n/a/be,ee:ab:3e:5f:29:40,WPA2+WPA3-Personal (AES/CCMP),
,,CAR2-9168,-88 dBm,40,40 MHz,802.11n/a/be,fc:23:cd:19:5b:4d,WPA2-Personal (AES/CCMP),
,,Personal-093,-88 dBm,153,80 MHz,802.11n/a/be,52:9a:88:7a:ca:7c,WPA2-Personal (AES/CCMP),
,,SmartAdapter-EAA2,-88 dBm,40,40 MHz,802.11n/a/be,48:8f:4c:ce:73:a1,WPA2-Personal (AES/CCMP),"shenzhen trolink Technology Co.,Ltd"
,,WirelessDongle-6C35,-89 dBm,40,40 MHz,802.11n/a/be,fc:23:cd:29:4d:a4,WPA2-Personal (AES/CCMP),
,,CarLinkAP095,-89 dBm,40,80 MHz,802.11n/a/be,56:0e:00:51:fa:64,WPA2-Personal (AES/CCMP),
,3,Redmi Note 13,-89 dBm,40,40 MHz,802.11n/a/be,12:90:41:eb:42:8b,WPA2-Personal (AES/CCMP),
,,smartBox-F90B,-89 dBm,40,40 MHz,802.11n/a/be,14:5d:34:71:cd:70,WPA2-Personal (AES/CCMP),
,,My VW 6348,-89 dBm,40,80 MHz,802.11n/a/be,a6:04:50:69:6a:70,WPA2+WPA3-Personal (AES/CCMP),
,,Dorrego NET,-89 dBm,40,80 MHz,802.11n/a/be,58:d9:d5:7e:7e:44,WPA2-Personal (AES/CCMP),"Tenda Technology Co.,Ltd.Dongguan branch"
,,YOMHA,-89 dBm,40,80 MHz,802.11n/a/be,a8:6e:84:9e:ce:af,WPA2-Personal (AES/CCMP),
,,smartDongle-DDAB,-89 dBm,40,40 MHz,802.11n/a/be,2e:a6:b3:00:6b:2e,WPA2-Personal (AES/CCMP),
,,AndroidAP_4294,-89 dBm,40,80 MHz,802.11n/a/be,22:33:8b:24:d9:23,WPA2-Personal (AES/CCMP),
,,Batata78,-89 dBm,40,80 MHz,802.11n/a/be,be:4d:e1:dc:32:7b,WPA2-Personal (AES/CCMP),
,,CAR-WiFi-8ca6,-89 dBm,40,40 MHz,802.11n/a/be,2c:0b:4a:02:d4:46,WPA2+WPA3-Personal (AES/CCMP),
,,AndroidAP_2796,-89 dBm,40,80 MHz,802.11n/a/be,02:08:22:15:4f:51,WPA2-Personal (AES/CCMP),
,,CarAP_MPNVO,-89 dBm,40,40 MHz,802.11n/a/be,02:08:22:8a:10:fc,WPA2-Personal (AES/CCMP),
,2,Daniel Toyota Etios,-89 dBm,40,80 MHz,802.11n/a/be,6e:66:f9:60:97:8e,WPA3-Personal (AES/CCMP),
,,AndroidAP_7356,-89 dBm,40,40 MHz,802.11n/a/be,d6:d3:3c:43:df:c9,WPA2-Personal (AES/CCMP),
,,MBUX 81166,-89 dBm,40,80 MHz,802.11n/a/be,c2:c4:f9:61:36:3d,WPA2+WPA3-Personal (AES/CCMP),
,,Pol-4444,-89 dBm,40,80 MHz,802.11n/a/be,50:91:e3:14:af:d3,WPA2-Personal (AES/CCMP),TP-Link Corporation Limited
,,NEW_VALUES 5G,-89 dBm,165,20 MHz,802.11n/a/be,48:83:c7:86:b1:07,WPA2-Personal (TKIP/AES/CCMP),Sagemcom Broadband SAS
,,WirelessDongle-77C0,-89 dBm,40,40 MHz,802.11n/a/be,a8:b5:8e:60:ab:4e,WPA2-Personal (AES/CCMP),
,,OTTO-0269,-89 dBm,40,40 MHz,802.11n/a/be,c4:06:b3:01:c8:b6,WPA2-Personal (AES/CCMP),
,,moto g13_3471,-89 dBm,40,80 MHz,802.11n/a/be,02:1a:55:33:3e:22,WPA2+WPA3-Personal (AES/CCMP),
,,Wi Fi EP,-89 dBm,48,40 MHz,802.11n/a/be,1a:e8:29:6b:f3:3d,WPA2-Personal (AES/CCMP),Ubiquiti Inc
,,IplanFVW-5Ghz,-89 dBm,40,80 MHz,802.11n/a/be,d8:a0:e8:52:9a:b0,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,MICA MESH,-89 dBm,40,80 MHz,802.11n/a/be,0c:ef:15:4b:d6:37,WPA2-Personal (AES/CCMP),
,,smartBox-A883,-89 dBm,40,40 MHz,802.11n/a/be,68:8f:c9:9f:b2:9c,WPA2-Personal (AES/CCMP),"Zhuolian (Shenzhen) Communication Co., Ltd"
,,Personal-363-guest1-5GHz,-89 dBm,52,80 MHz,802.11n/a/be,6e:26:36:8b:36:f8,WPA2-Personal (AES/CCMP),
,,Pixel_7596,-89 dBm,40,80 MHz,802.11n/a/be,46:83:a7:11:2e:c9,WPA2+WPA3-Personal (AES/CCMP),
,,CarAP_AU8W8,-89 dBm,40,80 MHz,802.11n/a/be,02:08:22:24:50:fc,WPA2-Personal (AES/CCMP),
,,thecroods_5g,-89 dBm,40,80 MHz,802.11n/a/be,d4:5d:64:eb:ff:94,WPA2-Personal (AES/CCMP),ASUSTek COMPUTER INC.
,,AV5D 5.8,-89 dBm,56,80 MHz,802.11n/a/be,f6:e4:51:5d:59:a0,WPA2-Personal (AES/CCMP),
,,smartBox-005A,-89 dBm,40,40 MHz,802.11n/a/be,4c:a3:8f:d1:1a:53,WPA2-Personal (AES/CCMP),
,,IPLAN-GINO-5G,-89 dBm,40,80 MHz,802.11n/a/be,c8:5a:9f:c3:53:c8,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,VOLKSWAGENFE,-89 dBm,40,40 MHz,802.11n/a/be,00:e0:4c:03:78:7e,WPA2-Personal (AES/CCMP),Realtek Semiconductor Corp.
,,WirelessDongle-36E9,-89 dBm,40,40 MHz,802.11n/a/be,68:8f:c9:96:21:dd,WPA2-Personal (AES/CCMP),"Zhuolian (Shenzhen) Communication Co., Ltd"
,,iPhone de Alejandro,-89 dBm,40,40 MHz,802.11n/a/be,46:9e:34:85:f4:59,WPA2+WPA3-Personal (AES/CCMP),
,,MBUX 13846,-89 dBm,40,80 MHz,802.11n/a/be,66:e2:20:52:c6:c3,WPA2+WPA3-Personal (AES/CCMP),
,,scubahome + 5GHz,-90 dBm,40,80 MHz,802.11n/a/be,30:23:03:6f:90:5e,WPA2-Personal (AES/CCMP),Belkin International Inc.
,,araknis_initial,-90 dBm,40,80 MHz,802.11n/a/be,14:3f:c3:ba:0f:da,Open,SnapAV
,,HUAWEI-5.8Ghz,-90 dBm,36,80 MHz,802.11n/a/be,92:f9:b7:1e:18:9c,WPA2-Personal (AES/CCMP),
,,smartBox-FAD5,-90 dBm,40,40 MHz,802.11n/a/be,a8:b5:8e:0b:f8:65,WPA2-Personal (AES/CCMP),
,,PELUCITA23 2.4Ghz,-90 dBm,60,80 MHz,802.11n/a/be,62:3d:29:e4:e5:68,WPA2-Personal (AES/CCMP),
,,MBUX 19443,-90 dBm,40,80 MHz,802.11n/a/be,66:e2:20:71:b8:15,WPA2+WPA3-Personal (AES/CCMP),
,,tetatete,-90 dBm,40,80 MHz,802.11n/a/be,f2:0a:0d:00:a5:c7,WPA2-Personal (AES/CCMP),
,,Fibertel WiFi 752 5.8,-91 dBm,157,80 MHz,802.11n/a/be,8e:83:e8:06:f3:4c,WPA2-Personal (AES/CCMP),
,,smartBox-E333,-91 dBm,40,40 MHz,802.11n/a/be,a8:b5:8e:4b:40:09,WPA2-Personal (AES/CCMP),
,,Galaxy A316183,-96 dBm,149,80 MHz,802.11n/a/be,5e:f4:ab:ff:2f:a7,WPA2-Personal (AES/CCMP),
,,Personal-WiFi-648-5Ghz,-96 dBm,149,80 MHz,802.11n/a/be,f8:53:29:a6:e2:a8,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,Personal-WiFi-464-5Ghz,-96 dBm,149,80 MHz,802.11n/a/be,b0:ec:dd:99:64:f4,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,Tilo Cafe 5.8GHz,-96 dBm,149,80 MHz,802.11n/a/be,38:90:52:04:94:8c,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
